Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
10teams,19.078,14.163999999999998,12.642,9.374,498.064,14.317999999999998,19.874000000000002,19.132,18.009999999999998,20.363999999999997,14.488,39.176,18.624000000000002,47.21
22433,1.986,2.226,1.4460000000000002,0.5519999999999999,6.182,2.3280000000000003,2.69,2.4699999999999998,2.0100000000000002,2.186,1.7719999999999998,4.24,1.7400000000000002,0.8560000000000001
23588,3.7879999999999994,3.052,4.33,1.642,9.784,5.159999999999999,3.174,2.812,3.7520000000000002,3.3660000000000005,3.13,5.593999999999999,3.5140000000000002,2.4899999999999998
30n20b8,432.53600000000006,566.85,230.91200000000003,589.012,600.0,279.684,574.25,600.0,418.67999999999995,600.0,600.0,533.62,441.77799999999996,457.59399999999994
50v-10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Test3,8.556000000000001,27.306,27.774,10.533999999999999,17.718,20.374000000000002,11.45,16.062,8.776,7.232000000000001,372.11400000000003,18.378000000000004,8.72,19.822000000000003
a1c1s1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
acc-tight5,92.09200000000001,409.67600000000004,185.66199999999998,348.438,600.0,119.776,130.274,297.96200000000005,90.796,226.88400000000001,331.406,140.554,135.22799999999998,218.83399999999997
aflow30a,13.174000000000001,60.674,13.372,71.334,53.660000000000004,22.017999999999997,19.669999999999998,25.394,12.978,24.664,28.649999999999995,36.712,8.266000000000002,37.11200000000001
aflow40b,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
air03,1.1460000000000001,1.504,1.6200000000000003,1.568,3.932,1.6219999999999999,1.184,1.03,2.6340000000000003,1.5539999999999998,0.7860000000000001,3.868,1.1519999999999997,0.8799999999999999
air04,70.538,63.364,66.828,70.976,259.36,56.86800000000001,62.626,63.15599999999999,80.478,95.84,116.896,100.24600000000001,68.794,67.76
air05,38.166000000000004,42.402,47.112,41.156,251.13599999999997,37.806000000000004,37.516,35.14,37.988,56.272000000000006,57.358000000000004,115.90799999999999,38.004,41.85000000000001
aligninq,53.389999999999986,22.136,56.664,9.746,110.502,30.258000000000003,24.148,26.188,32.498,43.152,14.184000000000003,62.71200000000001,53.517999999999994,51.16
app1-2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
arki001,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
atlanta-ip,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
atm20-100,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
b2c1s1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bab1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bab3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bab5,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bc1,221.252,382.87800000000004,507.81000000000006,285.272,146.16199999999998,276.98,268.05,267.44,226.044,210.39000000000001,600.0,243.87600000000003,384.10999999999996,466.07
beasleyC3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bell3a,6.837999999999999,8.21,4.776000000000001,7.978,5.934,8.001999999999999,7.1739999999999995,8.736,7.164,8.918000000000001,12.888,6.304,6.286,3.1060000000000003
bell5,0.5,3.7920000000000003,1.238,139.26,0.512,0.6020000000000001,0.5,0.5,0.5,1.752,178.532,0.5,0.5,0.518
berlin_5_8_0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bg512142,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
biella1,600.0,560.47,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,597.588,600.0,600.0,600.0
bienst1,93.44800000000001,65.224,48.586,95.41800000000002,105.258,108.74000000000001,67.97399999999999,61.91799999999999,92.7,75.20400000000001,60.934000000000005,86.906,91.616,41.489999999999995
bienst2,344.674,279.88,234.362,281.976,455.51000000000005,409.78000000000003,233.08599999999996,336.698,342.942,287.482,521.446,422.32,330.684,253.75200000000004
binkar10_1,294.494,600.0,600.0,600.0,277.214,342.938,217.858,168.596,319.618,340.676,367.57599999999996,313.906,600.0,600.0
blend2,0.522,1.7,3.0959999999999996,2.566,3.632,1.03,2.018,1.8539999999999999,0.5359999999999999,0.96,1.084,3.7379999999999995,0.5,1.8240000000000003
bley_xl1,281.01800000000003,600.0,268.766,600.0,384.39,271.228,332.37600000000003,295.28200000000004,600.0,600.0,600.0,268.62800000000004,224.026,402.368
blp-ic97,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bnatt350,411.41999999999996,359.40199999999993,343.23400000000004,236.17399999999998,600.0,331.526,410.65599999999995,501.744,244.362,318.95799999999997,204.06599999999997,490.6,152.638,114.08200000000002
bnatt400,573.442,572.936,498.802,305.16999999999996,600.0,582.0600000000001,600.0,600.0,579.4159999999999,404.644,331.71,600.0,367.526,258.8
cap6000,2.3859999999999997,10.968,3.72,10.905999999999999,5.9079999999999995,3.338,2.2459999999999996,12.766,3.742,10.304,16.936,5.24,2.54,1.4099999999999997
cdma,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
circ10-3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
co-100,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
core2536-691,552.6220000000001,600.0,518.72,600.0,600.0,566.684,600.0,520.382,552.8979999999999,600.0,600.0,600.0,551.7180000000001,585.038
core4872-1529,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
cov1075,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
