Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
CATS-d_regions-goods200-bids1000_0000,12.57,12.328,11.005999999999998,15.463999999999999,51.79200000000001,14.636000000000001,11.928,11.638000000000002,13.606,12.592000000000002,15.170000000000002,15.212,12.5,14.917999999999997
CATS-d_regions-goods200-bids1000_0001,53.576,63.38800000000001,63.85999999999999,110.878,522.32,84.25399999999999,50.19200000000001,52.028,58.104000000000006,55.79200000000001,51.076,75.076,54.153999999999996,48.294
CATS-d_regions-goods200-bids1000_0002,135.28000000000003,140.86,152.192,323.148,600.0,187.62400000000002,165.462,105.18800000000002,100.46600000000001,90.118,143.67000000000002,157.31,136.482,157.56400000000002
CATS-d_regions-goods200-bids1000_0003,42.263999999999996,45.044,72.924,150.946,482.37399999999997,52.922000000000004,47.758,44.80800000000001,36.733999999999995,40.239999999999995,73.42999999999999,53.65,43.019999999999996,60.05
CATS-d_regions-goods200-bids1000_0004,22.588,19.002000000000002,27.712,32.322,131.44799999999998,25.466,25.752,17.883999999999997,26.2,21.674,23.628,27.468,22.88,19.082
CATS-d_regions-goods200-bids1000_0005,11.443999999999999,9.16,13.598000000000003,11.986,24.874000000000002,12.02,7.99,8.476,11.074,12.23,15.13,21.752000000000002,11.494,16.080000000000002
CATS-d_regions-goods200-bids1000_0006,32.178000000000004,29.718,62.376,188.546,137.892,38.156,30.407999999999998,28.151999999999997,30.413999999999998,30.841999999999995,59.092000000000006,41.948,32.486,59.786
CATS-d_regions-goods200-bids1000_0007,50.838,45.013999999999996,70.638,219.814,412.25600000000003,60.08200000000001,57.644000000000005,48.468,58.282,67.938,95.306,76.242,51.602,69.02799999999999
CATS-d_regions-goods200-bids1000_0008,58.068,60.128,98.6,165.95,417.296,83.614,49.832,74.964,53.66199999999999,58.662,73.39399999999999,90.968,58.652,76.116
CATS-d_regions-goods200-bids1000_0009,28.133999999999997,39.272000000000006,78.94399999999999,123.78800000000001,295.962,35.274,29.616000000000003,32.388,29.238,35.196000000000005,47.57,47.9,28.718,54.839999999999996
CATS-d_regions-goods200-bids1000_0010,23.773999999999997,22.02,23.216,34.644000000000005,120.782,25.362000000000002,18.258,19.018,22.856,18.915999999999997,17.598000000000003,26.483999999999998,23.976,17.604000000000003
CATS-d_regions-goods200-bids1000_0011,10.974,6.8199999999999985,19.44,12.68,53.84599999999999,11.916,6.642000000000001,6.151999999999999,18.663999999999998,7.465999999999999,16.7,15.016000000000002,11.175999999999998,13.394
CATS-d_regions-goods200-bids1000_0012,22.432,21.45,34.47,79.764,148.7,23.828,20.526,19.44,24.336000000000002,21.071999999999996,35.538,30.122000000000003,23.002,30.4
CATS-d_regions-goods200-bids1000_0013,10.284,12.184000000000001,16.788,19.192,22.69,10.244,15.584,9.501999999999999,12.796,9.882,20.880000000000003,20.211999999999996,10.484,17.04
