Problem Name,default,no-redcost
30n20b8,33461.939,30773.932
acc-tight5,10966.8,11539.1
aflow40b,4956.475,16300.401999999996
air04,1258.154,1124.702
app1-2,154774.53600000002,164002.41400000002
bab5,25091.032,24906.190000000002
beasleyC3,45778.94,44371.388
biella1,4831.447,6347.262
bienst2,7142.880999999999,7288.3910000000005
binkar10_1,98.05699999999999,95.409
bley_xl1,28242.639999999996,27943.007
bnatt350,35007.8,36012.0
core2536-691,2051.0879999999997,1822.2930000000001
cov1075,30594.904000000002,30629.145999999997
csched010,45754.657,41768.407
danoint,12935.244999999999,12535.296
dfn-gwin-UUM,796.4050000000001,810.309
eil33-2,1247.3759999999997,1267.906
eilB101,3686.3669999999997,3997.0229999999997
enlight13,1.1,0.7
ex9,4361.3,4128.1
glass4,81873.87299999999,62127.813
gmu-35-40,144.70599999999996,151.87999999999997
iis-100-0-cov,8751.881,8968.701
iis-bupa-cov,22517.956000000002,22737.154000000002
iis-pima-cov,3057.1609999999996,2935.98
lectsched-4-obj,4790.038,5004.047
m100n500k4r1,14526.444,14527.624
macrophage,71743.051,71027.93000000001
map18,3660.0559999999996,3525.1459999999997
map20,2446.099,2562.4230000000002
mcsched,1310.537,1339.0080000000003
mik-250-1-100-1,648.8520000000001,2471.428
mine-166-5,1336.6799999999998,1374.6599999999999
mine-90-10,1770.775,2093.719
msc98-ip,211275.385,210380.47600000002
mspp16,360000.0,360000.0
mzzv11,17346.535,17615.295999999995
n3div36,28115.923,34370.303
n3seq24,193445.74200000003,194494.755
n4-3,4774.933,6475.442
neos-1109824,1377.271,2066.3689999999997
neos-1337307,6930.710000000001,6402.110999999999
neos-1396125,10538.743999999999,9716.314
neos-1601936,323747.975,333080.5229999999
neos-476283,3456.8230000000003,3447.624
neos-686190,5363.825,8186.2970000000005
neos-849702,59653.1,57500.8
neos-916792,28168.262,15748.563
neos-934278,304785.49299999996,275250.881
neos13,44013.198,48705.71399999999
neos18,682.3859999999999,6424.418000000001
net12,95748.61799999999,97883.003
newdano,97210.572,96287.39200000002
noswot,934.4639999999999,7710.635999999999
ns1208400,287484.29,312064.55299999996
ns1688347,8547.703,8004.036999999999
ns1830653,13382.331000000002,12817.945
opm2-z7-s2,7254.464,8416.721000000001
pg5_34,393.418,414.05
pigeon-10,36075.3,36090.15
pw-myciel4,64781.622500000005,85608.78
qiu,3598.808,3587.575
rail507,1367.656,1263.632
ran16x16,983.741,1091.9850000000001
reblock67,834.0469999999999,788.8580000000001
rmatr100-p10,2104.6189999999997,2120.8479999999995
rmatr100-p5,4533.5289999999995,4927.603000000001
rmine6,561.8155555555555,671.9811111111111
rocII-4-11,80935.4842857143,70955.48714285715
rococoC10-001000,9602.487142857144,9230.614285714286
roll3000,2967.876666666667,3375.2400000000002
satellites1-25,133940.74555555556,233921.61
sp98ic,20135.527142857143,20732.62
sp98ir,522.022,551.4660000000001
tanglegram1,28261.984999999997,28707.574000000004
tanglegram2,467.27,483.922
timtab1,1639.1514285714286,1850.4599999999996
triptim1,66313.13166666667,69765.23333333332
unitcal_7,9547.527142857143,10526.148571428572
vpphard,360000.0,360000.0
zib54-UUE,25078.859999999997,24047.682857142856
