Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
30n20b8,37875.20333333333,57819.7275,,47896.60249999999,50298.89200000001,50876.94,58173.11000000001,59922.734,31037.04,47708.346,60000.0,44232.78333333333,49575.16,
50v-10,2480.0879999999997,6070.681999999999,5473.598,4489.2,3756.136,2696.2239999999997,6236.424000000001,12562.054,2470.0559999999996,2953.17,2906.0600000000004,1846.0919999999999,3710.95,5517.08
a1c1s1,16416.268,30110.360000000004,36566.608,25184.164,23755.38,23263.716,20319.486,57802.284,16662.847999999998,15730.268000000002,20866.868,18825.85,25204.868,41689.546
aflow40b,4173.938,15327.694,6430.83,18112.038,9143.576,3735.97,13334.916000000001,22223.190000000002,4392.379999999999,4953.83,5369.91,6779.104000000001,4091.9020000000005,8418.268
app1-2,49970.37000000001,56858.64199999999,44500.04,59699.846,56983.614,50462.958,60000.0,57127.634,50019.126,47183.153999999995,46520.15,56961.77,47877.944,43210.43000000001
arki001,1524.074,42431.668,225.37399999999997,47056.121999999996,5984.252,1624.766,49201.912,19221.268,1271.518,1722.002,219.36999999999998,1746.7940000000003,1225.282,1501.6060000000002
atlanta-ip,23241.912,60000.0,22982.863999999994,60000.0,27899.932,30211.975999999995,60000.0,60000.0,13844.217999999999,13018.833999999999,60000.0,24838.100000000002,32921.75000000001,12055.869999999999
atm20-100,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
b2c1s1,31494.922000000002,31713.888,32575.178000000004,28722.915999999997,43680.030000000006,30331.112,33357.476,60000.0,31495.870000000003,33387.582,33173.941999999995,30992.292000000005,31805.27,38143.53600000001
bab1,27642.145999999997,50392.476,15863.426000000001,60000.0,36382.396,35025.492000000006,19064.394,29466.278,26604.358,21875.636,60000.0,15055.554,18450.428000000004,31315.021999999997
bab3,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
bab5,20850.474,20150.692,16783.146,53733.43400000001,58257.933999999994,18424.358,19473.884,20740.012,21059.694000000003,22286.706,20362.512,29963.894,19538.264000000003,23711.912000000004
beasleyC3,8815.11,26173.27,28767.952,20332.642,10129.17,8486.274000000001,11185.174,24188.309999999998,8791.068,8746.793999999998,33946.522000000004,9536.336,22960.14,36325.871999999996
berlin_5_8_0,7602.718000000001,24988.43,5938.722,25290.769999999997,12486.432,10428.672,25321.034,57904.114,8690.908,8838.651999999998,10973.366,9870.990000000002,10738.957999999999,10367.416000000001
bg512142,18516.678,25313.18,16718.886,48585.734,35506.732,16857.976,32970.716,54187.06800000001,17284.414,15889.114000000001,18129.174,17909.158000000003,17093.164,15276.688
biella1,5107.654,20780.735,5649.868,29557.968000000004,29139.295999999995,6206.728,24668.124,53811.038,5616.59,5372.505999999999,4678.8425,7299.8679999999995,5075.988,5517.014
blp-ic97,5184.98,6566.2699999999995,3699.722,7728.8,6403.832,4182.24,6525.562000000001,11612.083999999999,5206.532000000001,5651.392,7477.658,5506.7919999999995,5590.134,6967.6
