Problem Name,default_Status,emphasis_easycip_Status,emphasis_feasibility_Status,emphasis_hardlp_Status,emphasis_optimality_Status,heuristics_aggressive_Status,heuristics_fast_Status,heuristics_off_Status,presolving_aggressive_Status,presolving_fast_Status,presolving_off_Status,separating_aggressive_Status,separating_fast_Status,separating_off_Status
CATS-d_regions-goods200-bids1000_0000,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0001,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0002,5,5,5,5.0,0.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0003,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0004,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0005,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0006,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0007,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0008,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0009,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0010,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0011,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0012,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0013,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0014,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0015,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0016,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0017,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0018,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0019,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0020,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0021,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0022,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0023,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0024,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0025,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0026,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0027,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0028,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0029,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0030,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
CATS-d_regions-goods200-bids1000_0031,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,5
