Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
10teams,1192.2140000000002,805.2180000000001,229.85,612.648,35560.691999999995,298.4320000000001,914.882,1322.768,1157.844,1400.952,985.0319999999999,3784.66,1185.46,1681.676
22433,57.013999999999996,214.06,50.798,54.403999999999996,166.628,76.642,267.602,246.202,58.43000000000001,10.058,14.778,103.968,51.952,34.162
23588,116.252,158.164,68.156,52.958000000000006,260.662,149.21800000000002,172.13000000000002,160.35,116.07199999999997,102.08399999999999,61.838,212.47200000000004,100.3,34.898
30n20b8,28141.076,53399.962,15259.966,46571.942,50298.89200000001,21448.944,52105.276,59922.734,26407.091999999997,47708.346,60000.0,39377.92,34898.57600000001,29672.152000000002
50v-10,2480.0879999999997,6070.681999999999,5473.598,4489.2,3756.136,2696.2239999999997,6236.424000000001,12562.054,2470.0559999999996,2953.17,2906.0600000000004,1846.0919999999999,3710.95,5517.08
Test3,230.66199999999998,1541.1979999999999,524.124,706.508,243.21800000000002,523.89,245.58,1599.2,759.808,621.0,1046.664,259.622,239.88000000000002,231.81199999999998
a1c1s1,16416.268,30110.360000000004,36566.608,25184.164,23755.38,23263.716,20319.486,57802.284,16662.847999999998,15730.268000000002,20866.868,18825.85,25204.868,41689.546
acc-tight5,9209.2,40967.6,18566.2,34843.8,60000.0,11977.6,13027.4,29795.8,9079.6,22688.4,33140.4,14054.8,13522.8,21883.2
aflow30a,322.50200000000007,780.3539999999999,176.93599999999998,612.744,1651.214,230.29000000000002,658.106,1139.9940000000001,322.298,405.308,247.834,1578.5700000000002,91.688,373.806
aflow40b,4173.938,15327.694,6430.83,18112.038,9143.576,3735.97,13334.916000000001,22223.190000000002,4392.379999999999,4953.83,5369.91,6779.104000000001,4091.9020000000005,8418.268
air03,90.21600000000001,109.316,133.256,113.724,195.372,132.32999999999998,94.272,103.0,263.284,112.01400000000001,57.760000000000005,188.33399999999997,92.47200000000001,78.36800000000001
air04,958.54,4664.67,608.298,3673.136,1687.8020000000001,573.3340000000001,4142.286,4318.874000000001,2574.966,6557.168000000001,7411.933999999999,1067.286,938.8299999999999,948.5540000000001
air05,512.146,1681.056,406.95199999999994,1552.312,2335.444,404.482,1604.106,1438.43,583.678,1470.4940000000001,1961.922,1622.334,515.152,546.1
aligninq,4558.326,1806.9379999999996,4715.800000000001,474.30999999999995,8129.024000000002,1928.4,2009.4780000000003,2097.524,2639.9219999999996,3561.3659999999995,630.5600000000001,5650.272,4577.129999999999,4466.228
app1-2,49970.37000000001,56858.64199999999,44500.04,59699.846,56983.614,50462.958,60000.0,57127.634,50019.126,47183.153999999995,46520.15,56961.77,47877.944,43210.43000000001
arki001,1524.074,42431.668,225.37399999999997,47056.121999999996,5984.252,1624.766,49201.912,19221.268,1271.518,1722.002,219.36999999999998,1746.7940000000003,1225.282,1501.6060000000002
atlanta-ip,23241.912,60000.0,22982.863999999994,60000.0,27899.932,30211.975999999995,60000.0,60000.0,13844.217999999999,13018.833999999999,60000.0,24838.100000000002,32921.75000000001,12055.869999999999
atm20-100,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
b2c1s1,31494.922000000002,31713.888,32575.178000000004,28722.915999999997,43680.030000000006,30331.112,33357.476,60000.0,31495.870000000003,33387.582,33173.941999999995,30992.292000000005,31805.27,38143.53600000001
bab1,27642.145999999997,50392.476,15863.426000000001,60000.0,36382.396,35025.492000000006,19064.394,29466.278,26604.358,21875.636,60000.0,15055.554,18450.428000000004,31315.021999999997
