Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
acc-tight4,168.178,341.534,127.984,321.57,600.0,264.064,313.396,175.598,143.08999999999997,311.508,308.636,348.216,390.99399999999997,226.81000000000003
acc-tight6,167.67400000000004,134.602,122.362,209.106,600.0,103.394,40.05,97.17800000000001,95.638,256.158,285.242,220.96800000000002,50.85200000000001,106.178
ash608gpia-3col,12.748000000000001,11.814000000000002,16.586000000000002,7.3420000000000005,600.0,17.7,10.14,7.5280000000000005,11.392,12.462,11.096,71.902,11.056,23.976
b-ball,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
bab4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
blp-ar98,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
blp-ic98,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
buildingenergy,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
cms750_4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
csched007,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
csched008,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
datt256,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-0-20,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-100-24,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-25-2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-50-31,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-50-7,600.0,600.0,312.34,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
drayage-75-5,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
eilD76-2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
enlight14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,44.818,0.5,0.5,0.5
enlight15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,83.84,0.5,0.5,0.5
enlight16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,215.66800000000003,0.5,0.5,0.5
enlight9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.63,0.5,0.5,0.5
ex10,571.364,600.0,592.3140000000001,600.0,547.0600000000001,572.2,567.9759999999999,534.1659999999999,600.0,600.0,600.0,551.96,584.2,582.5020000000001
f2000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
gmu-35-50,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
hawaiiv10-130,25.694000000000006,28.016000000000002,26.966,25.318,25.887999999999998,26.082,25.509999999999998,25.502,25.516,24.674,25.612000000000002,25.104,26.442,25.377999999999997
k16x240,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
lectsched-1,390.828,172.728,223.42999999999998,600.0,600.0,254.44199999999995,196.512,223.32799999999997,292.916,303.304,543.402,553.356,322.4,198.48999999999998
lectsched-2,139.44799999999998,28.816000000000003,29.022000000000002,145.58599999999998,600.0,50.45399999999999,33.938,29.598000000000003,29.565999999999995,75.43799999999999,27.820000000000004,352.85599999999994,129.018,48.394000000000005
lectsched-3,230.37600000000003,63.565999999999995,153.404,197.21800000000002,600.0,271.62199999999996,159.552,103.744,346.494,284.32800000000003,239.23599999999996,548.814,145.424,125.36600000000001
loopHA13,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
lrsa120,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
map06,600.0,600.0,600.0,600.0,600.0,600.0,593.52,600.0,600.0,600.0,600.0,600.0,600.0,600.0
map10,600.0,600.0,600.0,600.0,600.0,600.0,570.886,580.126,600.0,600.0,600.0,600.0,600.0,600.0
map14,576.284,600.0,600.0,600.0,600.0,600.0,479.834,449.03600000000006,544.64,594.342,600.0,576.036,559.966,600.0
markshare_5_0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mc11,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mc8,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mine-166-10,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-1140050,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-1354092,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-1407044,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-1461051,18.866,11.212,12.828,6.601999999999999,600.0,18.676,18.654,14.520000000000001,19.344,12.35,26.497999999999998,33.95399999999999,14.61,28.74
neos-565672,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0,,600.0,600.0
neos-777800,23.472,77.258,17.838,70.652,123.144,26.95,76.912,67.72,24.433999999999997,21.512,33.358,31.881999999999998,22.134,21.862
neos-785912,60.038,73.678,64.492,46.798,600.0,60.574,68.50399999999999,51.3,65.12599999999999,77.384,87.534,72.876,37.964000000000006,17.68
neos-799711,600.0,600.0,465.416,600.0,552.47,600.0,600.0,600.0,600.0,536.524,600.0,551.154,519.2479999999999,600.0
neos-807454,2.708,1.3820000000000001,4.638,1.462,7.82,4.6899999999999995,1.408,1.408,2.6380000000000003,2.964,2.496,7.640000000000001,2.586,97.078
neos-807456,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-820146,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-820157,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos-848589,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0,,600.0,600.0
neos-859770,157.22,600.0,124.69000000000001,600.0,160.386,164.65599999999998,170.298,155.244,154.19,600.0,600.0,161.976,156.952,146.75799999999998
neos-872648,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0,,600.0,600.0
neos-873061,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0,,600.0,600.0
neos-942886,0.5,0.5,0.5,0.5,0.89,0.5,0.5,0.5,0.5,0.5,0.5,0.8960000000000001,0.5,0.5
neos-952987,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
neos788725,231.084,159.36200000000002,194.844,555.292,414.12600000000003,294.62,161.938,234.456,232.88999999999996,97.75800000000001,343.798,287.81399999999996,223.23599999999996,459.462
neos858960,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
netdiversion,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
nobel-eu-DBE,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
npmv07,125.88,66.628,135.692,57.36200000000001,,166.10600000000002,115.05199999999999,69.11399999999999,160.628,87.74,204.07399999999998,,115.59,84.718
ns1116954,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ns1158817,508.56399999999996,495.77799999999996,600.0,495.946,513.516,600.0,508.446,502.93999999999994,548.558,495.842,600.0,509.57,508.86800000000005,509.29200000000003
ns1606230,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ns1644855,580.2139999999999,600.0,599.5440000000001,600.0,600.0,594.634,600.0,600.0,600.0,575.0559999999999,600.0,600.0,577.8399999999999,571.882
ns1685374,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ns1686196,15.446000000000002,571.442,15.291999999999998,560.366,103.26000000000002,16.810000000000002,14.831999999999999,21.654,20.668,560.7,493.66,42.874,14.684000000000001,13.716
ns1702808,371.65199999999993,339.65599999999995,246.612,460.68799999999993,366.754,469.63199999999995,401.04,393.886,339.256,368.65599999999995,384.51,357.84000000000003,361.058,307.304
ns1745726,22.804,533.444,23.445999999999998,455.052,23.1,24.546,22.002000000000002,22.374000000000002,28.429999999999996,522.738,336.34,21.060000000000002,21.516,21.740000000000002
ns1758913,600.0,600.0,600.0,595.87,,600.0,600.0,600.0,600.0,600.0,600.0,,600.0,600.0
ns1766074,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
ns1769397,74.76399999999998,600.0,77.05600000000001,600.0,600.0,76.872,70.55799999999999,66.348,247.958,600.0,600.0,126.76399999999998,75.062,64.304
