Code,Problem Name,Obj Value
opt,1-FullIns_3.stab,14
inf,1-FullIns_3_inf.col,
opt,1-FullIns_4.stab,45
inf,1-FullIns_4_inf.col,
opt,1-FullIns_5.stab,139
inf,1-FullIns_5_inf.col,
opt,1-Insertions_4.stab,32
inf,1-Insertions_4_inf.col,
opt,1-Insertions_5.stab,99
opt,1-Insertions_6.stab,301
opt,10:10:4.5:0.5:100,3
opt,10:10:4.5:0.95:100,0
opt,10:10:4.5:0.95:98,1
opt,10:20:4.5:0.5:100,0
opt,10:20:4.5:0.95:98,2
opt,10bar1A,1673.9995
opt,10bar1B,1623.0878
opt,10bar1C,1623.0878
opt,10bar1D,1623.0878
opt,10bar2,1954.2338
opt,10bar3,5156.6437
opt,10bar4,5647.0613
opt,10teams,924
inf,10teams_inf,
opt,2-FullIns_3.stab,25
inf,2-FullIns_3_inf.col,
opt,2-FullIns_4.stab,105
inf,2-FullIns_4_inf.col,
opt,2-FullIns_5.stab,425
opt,2-Insertions_3.stab,18
inf,2-Insertions_3_inf.col,
opt,2-Insertions_4.stab,74
opt,2-Insertions_5.stab,298
opt,22433,21477
opt,23588,8090
opt,25bar,387.0726
opt,3-FullIns_3.stab,37
inf,3-FullIns_3_inf.col,
opt,3-FullIns_4.stab,198
inf,3-FullIns_4_inf.col,
opt,3-FullIns_5.stab,1009
opt,3-Insertions_3.stab,27
inf,3-Insertions_3_inf.col,
opt,3-Insertions_4.stab,139
opt,3-Insertions_5.stab,701
opt,30:30:4.5:0.95:100,2
opt,30:30:4.5:0.95:98,4
opt,30:70:4.5:0.95:98,12
opt,30:70:4_5:0_5:100,9
opt,30:70:4_5:0_95:100,3
opt,30:70:4_5:0_95:98,12
opt,30n20b8,302
opt,4-FullIns_3.col,7
opt,4-FullIns_3.stab,55
inf,4-FullIns_3_inf.col,
opt,4-FullIns_4.stab,343
inf,4-FullIns_4_inf.col,
opt,4-FullIns_5.stab,2071
opt,4-Insertions_3.stab,39
inf,4-Insertions_3_inf.col,
opt,4-Insertions_4.stab,237
bestdual,4stufen,106133.817
best,4stufen,116329.6706
opt,5-FullIns_3.stab,72
inf,5-FullIns_3_inf.col,
opt,5-FullIns_4.stab,535
inf,5-FullIns_4_inf.col,
opt,50v-10,3311.18
inf,5cnf_4000_4000_50f7.shuffled,
opt,5cnf_4000_4000_50t1.shuffled,33
opt,5cnf_4000_4000_60t5.shuffled,26
opt,72bar,75.9049
opt,90bar,97.5374
best,Am_2009_33dept_set1,66134
best,Am_2009_35dept_set1,74317
best,AnKeVa_2005_60dept_set1,1714234
best,AnKeVa_2005_70dept_set1,2605924
best,AnKeVa_2005_75dept_set1,3944708
opt,AnKeVa_2005_80dept_set1,0
best,AnVa_2008_25dept_set1,4759
best,AnVa_2008_30dept_set1,8661
best,DSJC1000.1.stab,57
best,DSJC1000.5.stab,12
best,DSJC1000.9.stab,9
opt,DSJC125.1.col,5
opt,DSJC125.1.stab,34
inf,DSJC125.1_inf.col,
opt,DSJC125.5.stab,10
opt,DSJC125.9.stab,4
best,DSJC250.1.stab,44
opt,DSJC250.5.stab,12
opt,DSJC250.9.stab,5
best,DSJC500.1.stab,55
best,DSJC500.5.stab,13
opt,DSJC500.9.stab,5
opt,DSJR500.1.stab,82
opt,DSJR500.1c.stab,13
opt,DSJR500.5.stab,7
best,HeKu_1991_20dept_set1,15736
best,HeKu_1991_30dept_set1,48008
opt,MANN_a27.pr.10,-1500
opt,MANN_a45.clq,345
opt,MANN_a45.pr.10,-4199
opt,MANN_a81.pr.10,-13164
opt,MANN_a81.pr.9,13164
opt,MANN_a9.clq,16
opt,MANN_a9.pr.10,-184
opt,ModelScip,415947434
opt,N_x_plit_28_10,73389.09
opt,N_x_plit_28_20,153183.89
opt,N_x_plit_28_25,194000.38
opt,N_x_plit_28_5,30839.19
opt,PPMIP156,259.3034
opt,Riley_Clement09,81599152000
opt,SRtest,-11126.3198
opt,SfOMIP002,21.85
best,SfOMIP070,22.765
opt,SfOMIP073,71.4664
opt,SfOMIP076,34.2
opt,SfOMIP111,57
opt,SfOMIP123,28.5
opt,SfOMIP182,0.95
opt,SfOMIP_001,71.4664
opt,SfOMIP_111a,57
opt,SfoLP60,1316.7
opt,Test3,2673520.21
opt,a05100,-4456
opt,a05200,-8788
opt,a10100,-4700
opt,a10200,-9413
opt,a1c1s1,11503.4441
opt,a20100,-4857
opt,a20200,-9666
opt,aa01,56137
opt,aa06,27040
opt,abb313GPIA.stab,313
opt,abel,225.1945832
opt,acc-0,0
opt,acc-1,0
opt,acc-2,0
opt,acc-3,0
opt,acc-4,0
opt,acc-5,0
opt,acc-6,0
opt,acc-tight5,0
opt,aflow30a,1158
opt,aflow40b,1168
opt,aflow_20_90c,869
opt,aflow_22_90_4c,685
opt,aflow_22_90_8c,756
opt,aflow_30_50c,1158
opt,aflow_30_90,941
opt,aflow_30_90c,941
opt,aflow_40_50,1171
opt,aflow_40_50c,1171
opt,aflow_40_90c,1168
opt,air01,6796
opt,air02,7810
opt,air03,340160
inf,air03_inf,
opt,air04,56137
inf,air04_inf,
opt,air05,26374
inf,air05_inf,
opt,air06,49649
opt,airland1_R1,700
opt,airland1_R2,90
opt,airland1_R3,0
opt,airland2_R3,0
opt,airland3_R1,820
opt,airland4_R4,0
opt,airland6_R1,24442
opt,airland6_R3,0
opt,airland7_R1,1550
opt,airland7_R2,0
opt,alan,2.925
opt,aligninq,2713
opt,alkyl,-1.764999646
opt,alkylation,1768.806964
inf,alu4_1,
inf,alu4_2,
inf,alu4_3,
inf,alu4_4,
inf,alu4_5,
inf,alu4_6,
inf,alu4_7,
inf,alu4_8,
inf,alu5_1,
inf,alu5_2,
inf,alu5_3,
inf,alu5_4,
inf,alu5_5,
inf,alu5_6,
inf,alu5_7,
inf,alu5_8,
opt,alu5_9,4187
inf,alu6_1,
inf,alu6_2,
inf,alu6_3,
inf,alu6_4,
inf,alu6_5,
inf,alu6_6,
inf,alu6_7,
inf,alu6_8,
opt,alu6_9,15506
inf,alu7_1,
inf,alu7_2,
inf,alu7_3,
inf,alu7_4,
inf,alu7_5,
inf,alu7_6,
inf,alu7_7,
inf,alu7_8,
inf,alu8_1,
inf,alu8_2,
inf,alu8_3,
inf,alu8_4,
inf,alu8_5,
inf,alu8_6,
inf,alu8_7,
inf,alu8_8,
opt,anna.stab,80
opt,app1-2,-41
opt,arki0001,40.71286469
bestdual,arki0002,-1e-09
best,arki0002,1.003819752
opt,arki0003,3795.206068
bestdual,arki0004,-3109.970445
best,arki0004,323.4670388
bestdual,arki0005,372.3207125
best,arki0005,372.604724
bestdual,arki0006,-1.151429214
best,arki0006,4.551135351
best,arki0007,-744.7089609
bestdual,arki0008,320980.9115
best,arki0009,-207096.6074
opt,arki001,7580813.0459
best,arki0010,-187908.6905
best,arki0011,-224086.46
best,arki0012,-224252.4457
best,arki0013,-224253.0892
best,arki0014,-223977.0938
bestdual,arki0015,-279.5334408
best,arki0015,-272.2997782
bestdual,arki0016,-1513.556574
best,arki0016,867.973166
bestdual,arki0017,-2070.310551
best,arki0017,-121.8330801
best,arki0018,0.0104566244
bestdual,arki0018,-2.965689576
best,arki0019,-17.54532779
bestdual,arki0019,-20.62410883
inf,arki001_inf,
bestdual,arki0020,-70.01027195
best,arki0020,-41.07495436
bestdual,arki0021,-182.382373
best,arki0021,-72.58210091
bestdual,arki0022,-207.9439016
best,arki0022,-87.09909127
bestdual,arki0023,-376.2946922
best,arki0023,-153.6600778
bestdual,arki0024,-8240.973175
best,arki0024,-7431.033836
opt,ash331GPIA.stab,229
inf,ash331GPIA_inf.col,
opt,ash608GPIA.stab,423
inf,ash608GPIA_inf.col,
inf,ash608gpia-3col,
opt,ash958GPIA.stab,663
opt,atlanta-ip,90.0099
opt,atm20-100,2463620
opt,autocorr_bern20-03,-72
opt,autocorr_bern20-05,-416
opt,autocorr_bern20-10,-2936
opt,autocorr_bern20-15,-5960
opt,autocorr_bern25-03,-92
opt,autocorr_bern25-06,-960
best,autocorr_bern25-13,-8148
bestdual,autocorr_bern25-13,-8414
bestdual,autocorr_bern25-19,-25502.58074
best,autocorr_bern25-19,-14644
best,autocorr_bern25-25,-10664
bestdual,autocorr_bern25-25,-20586.84754
opt,autocorr_bern30-04,-324
best,autocorr_bern30-08,-2952
bestdual,autocorr_bern30-08,-4462
best,autocorr_bern30-15,-15744
bestdual,autocorr_bern30-15,-30790.70509
best,autocorr_bern30-23,-30420
bestdual,autocorr_bern30-23,-118159.6608
best,autocorr_bern30-30,-22888
bestdual,autocorr_bern30-30,-96115.4523
best,autocorr_bern35-04,-384
bestdual,autocorr_bern35-04,-476
bestdual,autocorr_bern35-09,-11416
best,autocorr_bern35-09,-5108
best,autocorr_bern35-18,-31160
bestdual,autocorr_bern35-18,-84114.77881
best,autocorr_bern35-26,-55184
bestdual,autocorr_bern35-26,-287095.3883
best,autocorr_bern35-35,-41068
bestdual,autocorr_bern35-35,-351671
bestdual,autocorr_bern40-05,-1868
best,autocorr_bern40-05,-936
best,autocorr_bern40-10,-8240
bestdual,autocorr_bern40-10,-23724
bestdual,autocorr_bern40-20,-235816.8002
best,autocorr_bern40-20,-50516
best,autocorr_bern40-30,-94768
bestdual,autocorr_bern40-30,-644835.317
best,autocorr_bern40-40,-67964
bestdual,autocorr_bern40-40,-652508.0882
bestdual,autocorr_bern45-05,-2220
best,autocorr_bern45-05,-1068
bestdual,autocorr_bern45-11,-45344
best,autocorr_bern45-11,-12740
best,autocorr_bern45-23,-85248
bestdual,autocorr_bern45-23,-566328.6188
bestdual,autocorr_bern45-34,-1786641.397
best,autocorr_bern45-34,-152192
best,autocorr_bern45-45,-112764
bestdual,autocorr_bern45-45,-1510172
best,autocorr_bern50-06,-2160
bestdual,autocorr_bern50-06,-6336
bestdual,autocorr_bern50-13,-102265.3333
best,autocorr_bern50-13,-23772
best,autocorr_bern50-25,-124748
bestdual,autocorr_bern50-25,-1060099.062
bestdual,autocorr_bern50-38,-3781065.657
best,autocorr_bern50-38,-232496
bestdual,autocorr_bern50-50,-3035220
best,autocorr_bern50-50,-168216
bestdual,autocorr_bern55-06,-8116
best,autocorr_bern55-06,-2400
bestdual,autocorr_bern55-14,-174934.6667
best,autocorr_bern55-14,-33168
best,autocorr_bern55-28,-190420
bestdual,autocorr_bern55-28,-2118883.173
best,autocorr_bern55-41,-337369.9968
bestdual,autocorr_bern55-41,-6338384
best,autocorr_bern55-55,-241912
best,autocorr_bern60-08,-6792
bestdual,autocorr_bern60-08,-28128
bestdual,autocorr_bern60-15,-294767.0169
best,autocorr_bern60-15,-44896
best,autocorr_bern60-30,-261046.2157
bestdual,autocorr_bern60-30,-4486416
best,autocorr_bern60-45,-478528
bestdual,autocorr_bern60-60,-6452853.463
best,autocorr_bern60-60,-350312
opt,b01,82
opt,b10100,-4633
opt,b20200,-9682
opt,b2c1s1,25687.9
best,bab1,-218764.885
best,bab3,-656034.061
opt,bab5,-106411.8401
opt,bal8x12,471.55
opt,bart10.shuffled,0
opt,batch,285506.5082
opt,batch0812,2687026.784
opt,batch0812_nc,2687026.784
opt,batch_nc,285506.5082
opt,batchdes,167427.6571
opt,batchs101006m,769440.4204
opt,batchs121208m,1241125.514
opt,batchs151208m,1543472.398
opt,batchs201210m,2295348.849
best,bayes2_10,0.0003056537
bestdual,bayes2_10,0
bestdual,bayes2_20,0
best,bayes2_20,0.0003260881
bestdual,bayes2_30,0
best,bayes2_30,0.0001075155
opt,bayes2_50,0.5202077404
opt,bc,7
opt,bc1,3.3384
best,bchoco05,0.9519030306
bestdual,bchoco05,0.9927048733
best,bchoco06,0.9627765007
bestdual,bchoco06,0.99947982
best,bchoco07,0.9629924386
bestdual,bchoco07,0.9986675274
bestdual,bchoco08,0.9951410678
best,bchoco08,0.9691853176
best,bearing,1.95173322
bestdual,bearing,1.946826552
opt,beasleyC3,754
opt,bell3a,878430.316
inf,bell3a_inf,
opt,bell3ainf_minULR,1
opt,bell3b,11786160.6
opt,bell3binf_minULR,1
opt,bell4,18541484.2
opt,bell4inf_minULR,1
opt,bell5,8966406.4915
opt,bell5.mps.cuts,7962700.1
opt,bell5.pre,8699822.9
inf,bell5_inf,
opt,bell5inf_minULR,1
opt,berlin52,7164
opt,berlin_5_8_0,62
opt,bernasconi.20.10,-2936
best,bernasconi.20.15,-5904
best,bernasconi.20.20,-4648
opt,bernasconi.20.3,-72
opt,bernasconi.20.5,-416
best,bernasconi.25.13,-8144
best,bernasconi.25.19,-14556
best,bernasconi.25.25,-10600
opt,bernasconi.25.3,-92
best,bernasconi.25.6,-960
best,bernasconi.30.15,-15556
best,bernasconi.30.23,-30240
best,bernasconi.30.30,-22360
best,bernasconi.30.4,-324
best,bernasconi.30.8,-2952
best,bernasconi.35.18,-30760
best,bernasconi.35.26,-54424
best,bernasconi.35.35,-40752.0083
best,bernasconi.35.4,-384
best,bernasconi.35.9,-5044
best,bernasconi.40.10,-8104
best,bernasconi.40.20,-49608
best,bernasconi.40.30,-92808
best,bernasconi.40.40,-63196
best,bernasconi.40.5,-932
best,bernasconi.45.11,-12436
best,bernasconi.45.23,-83536
best,bernasconi.45.34,-149288
best,bernasconi.45.45,-106388
best,bernasconi.45.5,-1040
best,bernasconi.50.13,-23124
best,bernasconi.50.25,-121304
best,bernasconi.50.38,-227248
best,bernasconi.50.6,-2128
best,bernasconi.55.14,-32112
best,bernasconi.55.28,-186532
best,bernasconi.55.6,-2312
best,bernasconi.60.15,-44032
best,bernasconi.60.30,-255768
