Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10teams,0,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,1675.63,614.66,164.14,812.0,29734.23,473.98,1223.87,882.55,991.82,1687.0,1311.51,3849.0,1634.88,1763.77
10teams,1,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,1204.38,740.49,214.11,370.61,60001.0,319.63,669.38,1732.43,1046.72,1875.63,457.0,4034.3,1190.51,845.04
10teams,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,1377.0,393.0,306.83,393.95,54145.0,214.56,406.0,1192.0,1504.35,1068.21,480.0,4770.0,1392.0,2247.84
10teams,3,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok,825.55,1523.27,224.56,970.61,19040.23,239.11,1328.72,1228.51,1006.99,906.79,1653.0,3361.0,815.26,1878.47
10teams,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,878.51,754.67,239.61,516.07,14884.0,244.88,946.44,1578.35,1239.34,1467.13,1023.65,2909.0,894.65,1673.26
22433,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,8.31,198.0,57.22,55.0,13.36,51.45,259.0,237.0,10.27,9.19,47.9,11.65,10.28,9.11
22433,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,9.68,239.07,30.75,49.0,11.91,31.78,300.0,240.01,9.65,13.22,6.0,11.23,10.39,9.37
22433,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,11.47,220.0,50.81,52.0,19.96,52.78,342.0,299.0,11.57,9.1,5.56,16.69,10.52,8.92
22433,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,246.0,241.01,62.58,60.0,776.0,190.49,232.0,238.0,250.0,9.47,7.43,470.0,220.01,135.0
22433,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,9.61,172.22,52.63,56.02,11.91,56.71,205.01,217.0,10.66,9.31,7.0,10.27,8.56,8.41
23588,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,150.18,110.88,68.39,47.33,294.23,176.78,173.39,162.43,156.32,19.79,92.94,227.57,128.53,37.92
23588,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,134.8,185.6,91.6,67.8,321.78,173.3,155.6,144.59,134.08,142.23,16.22,266.12,117.14,38.2
23588,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,132.77,161.16,66.8,51.12,334.51,132.82,146.85,137.07,130.65,203.2,19.5,258.77,101.05,38.37
23588,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,28.94,178.15,39.26,52.97,67.94,45.73,205.32,151.32,29.26,23.94,102.6,43.2,22.63,22.78
23588,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,134.57,155.03,74.73,45.57,284.85,217.46,179.49,206.34,130.05,121.26,77.93,266.7,132.15,37.22
30n20b8,0,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,timelimit,ok,timelimit,timelimit,timelimit,timelimit,ok,29052.39,56658.67,16867.83,43023.2,60001.0,13231.16,37639.65,60001.0,39400.96,45040.76,60001.0,48619.74,47213.52,32591.01
30n20b8,1,ok,timelimit,ok,ok,timelimit,timelimit,timelimit,timelimit,ok,timelimit,timelimit,timelimit,ok,ok,16146.53,54620.24,13963.91,41273.3,60000.0,50876.94,60000.0,60000.0,34283.62,47031.12,60001.0,49312.89,15572.14,29698.45
30n20b8,2,ok,ok,ok,timelimit,timelimit,ok,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,ok,10933.24,35720.9,16680.84,47099.54,60000.0,11363.27,54519.33,60000.0,12896.4,51066.91,60000.0,43157.28,43993.44,33288.37
30n20b8,3,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,timelimit,ok,timelimit,timelimit,timelimit,timelimit,ok,52316.48,60000.0,14352.6,49679.84,36072.57,17651.73,48367.4,59613.67,14417.44,50165.49,60000.0,34765.72,51936.8,25580.6
30n20b8,4,timelimit,timelimit,ok,timelimit,timelimit,ok,timelimit,timelimit,timelimit,timelimit,timelimit,ok,ok,ok,32256.74,60001.0,14434.65,51783.83,35421.89,14121.62,60000.0,60000.0,31037.04,45237.45,60000.0,21033.97,15776.98,27202.33
50v-10,0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,1430.81,9941.64,4667.87,1838.16,4354.51,2460.18,7729.64,13348.62,1400.37,2904.93,2905.84,2192.43,4864.84,5741.43
