Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10teams,0,26.49,7.17,2.1,8.12,600.0,25.4,16.57,11.21,15.3,16.88,24.53,38.51,25.25,36.78,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
10teams,1,23.96,18.59,5.99,5.34,600.01,25.32,14.26,26.24,15.75,31.3,4.58,40.94,22.83,29.94,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
10teams,2,13.77,3.94,41.61,10.11,541.46,6.16,4.06,11.92,18.61,21.54,4.8,47.72,13.92,36.03,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
10teams,3,19.53,23.21,6.33,16.27,600.0,7.27,43.76,26.96,21.29,16.82,16.54,39.59,19.21,58.43,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
10teams,4,11.64,17.91,7.18,7.03,148.86,7.44,20.72,19.33,19.1,15.28,21.99,29.12,11.91,74.87,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
22433,0,1.26,2.0,1.79,0.55,3.95,1.83,2.59,2.37,1.24,2.48,2.09,3.06,1.23,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
22433,1,2.19,2.52,1.28,0.5,5.22,2.45,3.01,2.42,2.17,2.53,1.96,4.16,1.82,0.54,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
22433,2,2.01,2.21,1.49,0.52,8.93,2.2,3.44,3.01,2.08,1.56,0.89,5.08,1.44,0.79,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
22433,3,2.48,2.44,1.37,0.6,7.78,2.7,2.34,2.38,2.51,1.86,2.41,4.7,2.22,1.36,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
22433,4,1.99,1.96,1.3,0.59,5.03,2.46,2.07,2.17,2.05,2.5,1.51,4.2,1.99,0.59,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
23588,0,3.63,2.69,5.01,1.42,9.76,4.21,3.04,2.73,3.66,3.35,3.28,5.3,3.57,2.44,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
23588,1,3.63,3.3,4.73,1.55,12.17,5.01,3.2,2.89,3.77,3.64,2.96,5.68,3.4,2.33,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
23588,2,3.76,2.91,3.66,1.55,9.0,4.49,3.01,2.62,3.74,3.57,3.3,5.37,3.33,2.47,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
23588,3,4.09,3.37,4.02,2.5,10.66,5.71,3.34,2.87,3.91,3.23,3.4,6.2,3.47,2.96,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
23588,4,3.83,2.99,4.23,1.19,7.33,6.38,3.28,2.95,3.68,3.04,2.71,5.42,3.8,2.25,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
30n20b8,0,600.01,600.0,257.3,600.01,600.01,185.74,473.64,600.01,598.77,600.0,600.01,600.01,600.04,529.03,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,timelimit,ok,timelimit,timelimit,timelimit,timelimit,ok
30n20b8,1,235.2,600.01,211.02,545.06,600.0,600.01,600.0,600.0,459.14,600.0,600.01,600.01,229.63,465.53,ok,timelimit,ok,ok,timelimit,timelimit,timelimit,timelimit,ok,timelimit,timelimit,timelimit,ok,ok
30n20b8,2,127.48,434.25,249.07,600.0,600.0,153.71,600.0,600.0,213.12,600.0,600.0,568.48,582.92,501.79,ok,ok,ok,timelimit,timelimit,ok,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,ok
30n20b8,3,600.0,600.0,220.2,600.0,600.0,275.87,597.61,600.01,222.37,600.01,600.0,600.01,600.02,382.12,timelimit,timelimit,ok,timelimit,timelimit,ok,ok,timelimit,ok,timelimit,timelimit,timelimit,timelimit,ok
30n20b8,4,600.0,600.01,216.97,600.0,600.01,183.1,600.0,600.0,600.0,600.0,600.0,299.62,196.34,409.5,timelimit,timelimit,ok,timelimit,timelimit,ok,timelimit,timelimit,timelimit,timelimit,timelimit,ok,ok,ok
50v-10,0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
50v-10,1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
50v-10,2,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
50v-10,3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
50v-10,4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
Test3,0,8.77,20.06,31.69,10.27,16.87,16.33,8.62,12.59,9.18,6.92,298.08,17.51,8.51,15.18,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,fail_solution_infeasible,ok
Test3,1,9.18,27.29,25.17,10.62,19.27,19.73,8.11,18.28,9.13,7.25,600.9,20.03,9.4,15.48,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timelimit,ok,ok,ok
Test3,2,7.9,28.0,25.39,10.2,17.97,18.23,11.0,15.19,7.78,7.24,600.09,18.23,8.65,14.71,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,timelimit,ok,ok,ok
Test3,3,7.8,29.03,33.98,8.07,16.97,27.77,19.64,20.5,9.12,7.28,233.63,17.76,9.05,41.46,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
Test3,4,9.13,32.15,22.64,13.51,17.51,19.81,9.88,13.75,8.67,7.47,128.86,18.36,7.99,12.28,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
a1c1s1,0,600.0,600.0,600.01,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.01,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
a1c1s1,1,600.01,600.0,600.0,600.0,600.01,600.0,600.0,600.01,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
a1c1s1,2,600.0,600.0,600.02,600.0,600.0,600.0,600.01,600.0,600.0,600.02,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
a1c1s1,3,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.01,600.0,600.0,600.01,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
a1c1s1,4,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit,timelimit
acc-tight4,0,230.22,275.19,73.11,124.19,600.01,259.74,600.0,84.89,114.66,600.0,600.0,431.82,600.01,192.3,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,better,solved_not_verified,solved_not_verified,better,better,solved_not_verified,better,solved_not_verified
acc-tight4,1,346.02,162.0,182.01,114.66,600.01,223.82,272.07,132.1,208.86,182.89,258.96,344.89,166.51,318.0,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight4,2,93.92,243.23,133.23,169.0,600.01,206.89,296.44,118.44,250.39,124.47,256.54,343.97,600.0,274.63,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified
acc-tight4,3,104.95,427.25,164.7,600.01,600.0,253.25,116.09,406.02,75.91,407.95,237.66,278.12,276.36,233.43,solved_not_verified,solved_not_verified,solved_not_verified,better,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight4,4,65.78,600.0,86.87,600.0,600.23,376.62,282.38,136.54,65.63,242.23,190.02,342.28,312.1,115.69,solved_not_verified,better,solved_not_verified,better,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight5,0,103.18,600.0,221.81,314.1,600.0,146.85,82.19,260.28,58.0,372.62,252.99,198.29,90.99,210.4,ok,timelimit,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
acc-tight5,1,75.63,432.06,108.07,81.63,600.01,137.51,130.85,161.96,50.14,214.05,386.59,128.35,42.04,225.48,ok,ok,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
acc-tight5,2,99.0,307.58,180.12,600.0,600.01,143.04,260.36,330.49,102.15,114.14,212.17,115.84,135.73,288.46,ok,ok,ok,timelimit,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
acc-tight5,3,95.9,108.74,161.07,600.0,600.01,96.0,144.38,402.65,152.26,178.63,600.0,126.52,270.83,319.4,ok,ok,ok,timelimit,timelimit,ok,ok,ok,ok,ok,timelimit,ok,ok,ok
acc-tight5,4,86.75,600.01,257.24,146.46,600.0,75.48,33.59,334.43,91.43,254.98,205.28,133.77,136.55,50.43,ok,timelimit,ok,ok,timelimit,ok,ok,ok,ok,ok,ok,ok,ok,ok
acc-tight6,0,252.28,146.44,105.71,385.16,600.0,91.08,42.98,94.82,105.35,150.3,91.48,120.84,68.62,212.26,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight6,1,289.3,81.58,52.06,416.68,600.0,152.42,28.4,204.67,60.58,370.93,512.3,323.02,38.77,99.81,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight6,2,82.98,141.78,124.34,75.92,600.01,107.26,27.8,40.72,164.03,157.99,330.86,92.22,50.65,74.46,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight6,3,163.84,189.88,135.31,27.8,600.01,125.76,73.61,113.22,43.61,333.39,290.12,181.59,64.48,108.38,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
acc-tight6,4,49.97,113.33,194.39,139.97,600.0,40.45,27.46,32.46,104.62,268.18,201.45,387.17,31.74,35.98,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,better,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified,solved_not_verified
aflow30a,0,13.39,59.18,12.42,89.79,56.67,23.04,18.82,25.5,13.37,25.24,30.35,35.3,8.29,36.86,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aflow30a,1,13.09,68.83,15.18,91.51,55.16,26.34,19.28,25.21,13.04,23.94,31.98,36.97,8.5,33.06,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
