Settings,,default,no-redcost,default,no-redcost
,,Status,Status,PDInt,PDInt
ProblemName,Seed,,,,
30n20b8,0.0,ok,ok,36581.37,76600.71
30n20b8,1.0,ok,ok,14379.11,13210.62
30n20b8,2.0,ok,ok,10218.62,9905.18
30n20b8,3.0,ok,ok,73675.73,57316.61
30n20b8,4.0,ok,ok,29720.56,18008.84
30n20b8,5.0,ok,ok,55496.25,38381.81
30n20b8,6.0,ok,ok,12825.83,12984.22
30n20b8,7.0,ok,ok,72712.58,51275.24
30n20b8,8.0,ok,ok,15449.07,16501.31
30n20b8,9.0,ok,ok,13560.27,13554.78
acc-tight5,0.0,ok,ok,9611.0,7618.0
acc-tight5,1.0,ok,ok,6878.0,6731.0
acc-tight5,2.0,ok,ok,9238.0,18566.0
acc-tight5,3.0,ok,ok,9049.0,14240.0
acc-tight5,4.0,ok,ok,8013.0,9132.0
acc-tight5,5.0,ok,ok,12389.0,16058.0
acc-tight5,6.0,ok,ok,15723.0,12449.0
acc-tight5,7.0,ok,ok,16105.0,10823.0
acc-tight5,8.0,ok,ok,6388.0,6537.0
acc-tight5,9.0,ok,ok,16274.0,13237.0
aflow40b,0.0,ok,timelimit,7137.53,24815.8
aflow40b,1.0,ok,timelimit,4084.14,17163.38
aflow40b,2.0,ok,timelimit,3561.01,13444.77
aflow40b,3.0,ok,timelimit,5975.1,14890.01
aflow40b,4.0,ok,timelimit,4309.72,16227.37
aflow40b,5.0,ok,timelimit,4244.78,12714.64
aflow40b,6.0,ok,timelimit,5644.46,15270.04
aflow40b,7.0,ok,timelimit,5834.62,19908.14
aflow40b,8.0,ok,timelimit,4006.2,15025.93
aflow40b,9.0,ok,timelimit,4767.19,13543.94
air04,0.0,ok,ok,688.01,623.7
air04,1.0,ok,ok,785.26,811.08
air04,2.0,ok,ok,1414.71,1424.7
air04,3.0,ok,ok,682.07,655.52
air04,4.0,ok,ok,865.27,856.84
air04,5.0,ok,ok,1619.11,1477.29
air04,6.0,ok,ok,734.35,720.36
air04,7.0,ok,ok,1957.58,1520.82
air04,8.0,ok,ok,1944.04,1623.01
air04,9.0,ok,ok,1891.14,1533.7
app1-2,0.0,timelimit,timelimit,210897.98,211018.6
app1-2,1.0,ok,timelimit,332430.79,353389.22
app1-2,2.0,timelimit,timelimit,161227.31,182516.02
app1-2,3.0,ok,ok,57953.03,62096.6
app1-2,4.0,timelimit,timelimit,356399.68,360008.0
app1-2,5.0,ok,ok,75395.98,85083.32
app1-2,6.0,ok,timelimit,155111.58,180622.13
app1-2,7.0,ok,ok,70466.52,73645.54
app1-2,8.0,ok,ok,41262.53,42997.45
app1-2,9.0,ok,ok,86599.96,88655.26
ash608gpia-3col,0.0,ok,ok,60000.0,60000.0
ash608gpia-3col,1.0,ok,ok,60000.0,60000.0
ash608gpia-3col,2.0,ok,ok,60000.0,60000.0
ash608gpia-3col,3.0,ok,ok,60000.0,60000.0
ash608gpia-3col,4.0,ok,ok,60000.0,60000.0
ash608gpia-3col,5.0,ok,ok,60000.0,60000.0
ash608gpia-3col,6.0,ok,ok,60000.0,60000.0
ash608gpia-3col,7.0,ok,ok,60000.0,60000.0
ash608gpia-3col,8.0,ok,ok,60000.0,60000.0
ash608gpia-3col,9.0,ok,ok,60000.0,60000.0
bab5,0.0,timelimit,timelimit,21144.05,23144.91
bab5,1.0,timelimit,timelimit,26934.76,26910.06
bab5,2.0,timelimit,timelimit,19790.09,20486.05
bab5,3.0,timelimit,timelimit,33764.72,33801.21
bab5,4.0,timelimit,timelimit,20807.53,20039.2
bab5,5.0,timelimit,timelimit,28145.9,26165.59
