Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
30n20b8,0.0,799.1,2405.75,ok,ok
30n20b8,1.0,211.37,189.47,ok,ok
30n20b8,2.0,119.11,115.55,ok,ok
30n20b8,3.0,964.43,735.61,ok,ok
30n20b8,4.0,637.68,275.82,ok,ok
30n20b8,5.0,761.52,497.95,ok,ok
30n20b8,6.0,168.48,171.56,ok,ok
30n20b8,7.0,1018.1,784.23,ok,ok
30n20b8,8.0,239.69,244.2,ok,ok
30n20b8,9.0,203.41,198.33,ok,ok
acc-tight5,0.0,96.11,76.18,ok,ok
acc-tight5,1.0,68.78,67.31,ok,ok
acc-tight5,2.0,92.38,185.66,ok,ok
acc-tight5,3.0,90.49,142.4,ok,ok
acc-tight5,4.0,80.13,91.32,ok,ok
acc-tight5,5.0,123.9,160.58,ok,ok
acc-tight5,6.0,157.23,124.49,ok,ok
acc-tight5,7.0,161.05,108.24,ok,ok
acc-tight5,8.0,63.88,65.37,ok,ok
acc-tight5,9.0,162.74,132.37,ok,ok
aflow40b,0.0,1535.1,3600.01,ok,timelimit
aflow40b,1.0,967.35,3600.0,ok,timelimit
aflow40b,2.0,772.19,3600.0,ok,timelimit
aflow40b,3.0,1411.91,3600.0,ok,timelimit
aflow40b,4.0,967.71,3600.0,ok,timelimit
aflow40b,5.0,830.63,3600.01,ok,timelimit
aflow40b,6.0,1300.24,3600.01,ok,timelimit
aflow40b,7.0,1382.28,3600.0,ok,timelimit
aflow40b,8.0,761.44,3600.01,ok,timelimit
aflow40b,9.0,1029.64,3600.0,ok,timelimit
air04,0.0,64.91,57.35,ok,ok
air04,1.0,49.41,56.46,ok,ok
air04,2.0,84.57,77.02,ok,ok
air04,3.0,62.62,53.05,ok,ok
air04,4.0,72.74,58.78,ok,ok
air04,5.0,59.32,67.44,ok,ok
air04,6.0,52.68,49.71,ok,ok
air04,7.0,61.03,58.95,ok,ok
air04,8.0,59.37,61.14,ok,ok
air04,9.0,56.84,50.21,ok,ok
app1-2,0.0,3600.94,3600.74,timelimit,timelimit
app1-2,1.0,3430.68,3600.21,ok,timelimit
app1-2,2.0,3602.19,3600.03,timelimit,timelimit
app1-2,3.0,1043.18,1150.21,ok,ok
app1-2,4.0,3600.3,3600.08,timelimit,timelimit
app1-2,5.0,1073.91,1393.46,ok,ok
app1-2,6.0,2703.47,3600.01,ok,timelimit
app1-2,7.0,1284.33,1315.11,ok,ok
app1-2,8.0,783.57,841.65,ok,ok
app1-2,9.0,1011.96,1050.62,ok,ok
ash608gpia-3col,0.0,12.79,15.3,ok,ok
ash608gpia-3col,1.0,8.57,8.04,ok,ok
ash608gpia-3col,2.0,10.56,10.01,ok,ok
ash608gpia-3col,3.0,9.99,9.99,ok,ok
ash608gpia-3col,4.0,17.28,17.56,ok,ok
ash608gpia-3col,5.0,14.16,14.35,ok,ok
ash608gpia-3col,6.0,11.34,11.19,ok,ok
ash608gpia-3col,7.0,14.24,14.67,ok,ok
ash608gpia-3col,8.0,13.67,14.26,ok,ok
ash608gpia-3col,9.0,9.04,9.41,ok,ok
bab5,0.0,3600.0,3600.01,timelimit,timelimit
bab5,1.0,3600.0,3600.0,timelimit,timelimit
bab5,2.0,3600.0,3600.0,timelimit,timelimit
bab5,3.0,3600.0,3600.0,timelimit,timelimit
bab5,4.0,3600.0,3600.0,timelimit,timelimit
bab5,5.0,3600.0,3600.01,timelimit,timelimit
bab5,6.0,3600.02,3600.0,timelimit,timelimit
bab5,7.0,3600.0,3600.0,timelimit,timelimit
bab5,8.0,3600.0,3600.0,timelimit,timelimit
bab5,9.0,3600.0,3600.0,timelimit,timelimit
beasleyC3,0.0,3600.01,3600.0,timelimit,timelimit
beasleyC3,1.0,3600.02,3600.02,timelimit,timelimit
beasleyC3,2.0,3600.01,3600.01,timelimit,timelimit
beasleyC3,3.0,3600.01,3600.01,timelimit,timelimit
beasleyC3,4.0,3600.0,3600.01,timelimit,timelimit
beasleyC3,5.0,3600.0,3600.01,timelimit,timelimit
beasleyC3,6.0,3600.01,3600.01,timelimit,timelimit
beasleyC3,7.0,3600.0,3600.01,timelimit,timelimit
beasleyC3,8.0,3600.0,3600.0,timelimit,timelimit
beasleyC3,9.0,3600.01,3600.01,timelimit,timelimit
biella1,0.0,1067.27,855.03,ok,ok
biella1,1.0,1414.04,1241.92,ok,ok
biella1,2.0,1308.76,1021.36,ok,ok
biella1,3.0,1044.34,2242.87,ok,ok
biella1,4.0,1596.21,3420.73,ok,ok
biella1,5.0,1382.46,2894.5,ok,ok
biella1,6.0,2704.18,2115.84,ok,ok
biella1,7.0,1337.04,2279.74,ok,ok
biella1,8.0,1303.41,2547.8,ok,ok
biella1,9.0,954.23,1813.59,ok,ok
bienst2,0.0,324.04,338.22,ok,ok
bienst2,1.0,315.69,328.22,ok,ok
bienst2,2.0,395.87,400.27,ok,ok
bienst2,3.0,208.77,207.08,ok,ok
bienst2,4.0,345.88,340.71,ok,ok
bienst2,5.0,278.51,274.96,ok,ok
bienst2,6.0,339.69,330.54,ok,ok
bienst2,7.0,510.42,524.36,ok,ok
bienst2,8.0,360.9,372.74,ok,ok
bienst2,9.0,263.24,275.8,ok,ok
binkar10_1,0.0,217.28,220.9,ok,ok
binkar10_1,1.0,254.03,383.42,ok,ok
binkar10_1,2.0,247.78,201.36,ok,ok
binkar10_1,3.0,320.2,287.35,ok,ok
