Problem Name,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
CATS-d_regions-goods200-bids1000_0000,65.136,113.53800000000001,71.288,127.63199999999999,245.58,84.938,92.63,234.804,95.414,81.09200000000001,123.16400000000002,123.44000000000001,63.745999999999995,112.50399999999999
CATS-d_regions-goods200-bids1000_0001,252.004,431.25199999999995,399.328,654.608,3014.3039999999996,331.354,392.952,1015.378,366.208,293.914,369.25,590.854,253.002,328.12399999999997
CATS-d_regions-goods200-bids1000_0002,807.242,944.65,982.366,1732.304,6133.280000000001,939.2959999999999,1176.33,1670.55,649.53,582.012,868.358,1181.486,820.25,942.934
CATS-d_regions-goods200-bids1000_0003,266.736,347.26800000000003,385.642,603.35,2595.928,304.02599999999995,350.65799999999996,1337.658,322.25600000000003,267.686,397.38599999999997,510.072,270.01000000000005,331.56800000000004
CATS-d_regions-goods200-bids1000_0004,155.302,250.8,159.788,223.37199999999999,792.3720000000001,160.23199999999997,269.354,492.678,208.88600000000002,158.868,192.094,299.90199999999993,153.91,156.474
CATS-d_regions-goods200-bids1000_0005,86.166,140.644,101.752,136.28,293.504,102.73600000000002,112.672,438.65600000000006,123.55,97.888,135.63799999999998,273.40999999999997,84.658,142.698
CATS-d_regions-goods200-bids1000_0006,156.634,279.222,314.77200000000005,778.3019999999999,781.71,173.484,217.97600000000003,547.98,185.934,174.404,325.102,387.436,156.858,318.742
CATS-d_regions-goods200-bids1000_0007,259.28200000000004,411.4219999999999,371.592,932.24,3509.322,265.57000000000005,396.296,943.192,323.544,374.16999999999996,468.81000000000006,639.9860000000001,257.588,346.73
CATS-d_regions-goods200-bids1000_0008,287.086,341.28200000000004,533.71,792.956,2501.826,323.896,353.628,1236.494,285.58000000000004,288.61600000000004,412.312,605.6800000000001,285.546,412.33599999999996
CATS-d_regions-goods200-bids1000_0009,182.96800000000002,343.892,448.468,599.458,1564.3700000000001,212.498,310.666,796.984,185.616,204.64800000000002,309.092,380.82399999999996,183.534,324.61600000000004
CATS-d_regions-goods200-bids1000_0010,171.52200000000002,219.65,196.754,239.03400000000002,928.318,170.07399999999998,249.10999999999999,821.618,211.35999999999999,136.968,185.42000000000002,315.668,169.702,170.026
CATS-d_regions-goods200-bids1000_0011,83.05199999999999,138.61200000000002,143.172,186.69,363.23600000000005,92.67399999999999,113.20800000000001,347.724,163.872,105.248,187.054,194.154,81.978,142.678
CATS-d_regions-goods200-bids1000_0012,138.04799999999997,223.73999999999995,211.63399999999996,364.314,890.424,155.23,177.802,516.1759999999999,207.77799999999996,149.144,209.36600000000004,345.39,139.58800000000002,191.166
CATS-d_regions-goods200-bids1000_0013,94.566,185.81,124.46600000000001,221.72200000000004,309.06800000000004,97.102,195.088,381.086,113.6,87.638,205.158,289.226,93.476,172.11
CATS-d_regions-goods200-bids1000_0014,71.59799999999998,141.65,112.21599999999998,164.43,293.258,88.46399999999998,145.156,522.062,120.436,94.21599999999998,156.524,226.342,71.716,138.39399999999998
CATS-d_regions-goods200-bids1000_0015,238.81799999999998,353.658,346.63599999999997,613.5340000000001,1803.85,261.534,439.23199999999997,929.606,294.994,247.65,301.29200000000003,447.88199999999995,240.76999999999998,272.26599999999996
CATS-d_regions-goods200-bids1000_0016,176.87800000000001,232.32000000000002,301.964,578.022,1282.306,177.606,273.646,753.164,218.33200000000002,169.552,290.684,376.37600000000003,175.57200000000003,244.57199999999997
CATS-d_regions-goods200-bids1000_0017,141.27800000000002,216.32,271.038,288.282,996.396,173.082,207.02799999999996,602.858,250.93200000000002,162.776,247.65,368.834,142.48,196.56599999999997
CATS-d_regions-goods200-bids1000_0018,230.35399999999998,232.82600000000002,357.504,638.4680000000001,1771.468,305.61400000000003,237.20999999999998,651.566,310.18,211.96599999999998,342.85,630.74,231.416,340.36800000000005
CATS-d_regions-goods200-bids1000_0019,125.26199999999999,213.10999999999999,113.37,276.97799999999995,421.304,143.778,184.95999999999998,514.1020000000001,144.302,125.47999999999999,177.998,278.28200000000004,124.65,165.84
CATS-d_regions-goods200-bids1000_0020,226.248,359.408,398.87399999999997,640.76,1720.966,268.166,331.818,1052.782,266.136,208.07799999999997,346.892,431.40599999999995,227.48599999999996,316.4599999999999
CATS-d_regions-goods200-bids1000_0021,265.908,413.90199999999993,477.4440000000001,1121.176,2469.4120000000003,295.938,338.212,952.85,374.65999999999997,275.41,495.09799999999996,473.308,270.226,425.774
CATS-d_regions-goods200-bids1000_0022,87.002,160.572,76.562,266.12,487.04200000000003,111.55799999999999,115.872,464.058,136.828,95.90799999999999,189.11200000000002,393.166,86.128,157.668
CATS-d_regions-goods200-bids1000_0023,130.102,255.31199999999998,218.17800000000003,338.56,422.35200000000003,123.03600000000002,210.446,531.548,175.13199999999998,123.76399999999998,166.772,279.98400000000004,129.05599999999998,144.588
CATS-d_regions-goods200-bids1000_0024,182.336,348.022,234.42200000000003,483.4599999999999,913.6959999999999,190.91600000000003,328.302,743.484,173.35399999999998,191.122,230.166,283.296,183.744,189.176
CATS-d_regions-goods200-bids1000_0025,149.78199999999998,267.118,320.46000000000004,283.43199999999996,641.692,149.818,280.45200000000006,577.7080000000001,194.114,140.154,242.44400000000002,302.396,149.44400000000002,204.182
CATS-d_regions-goods200-bids1000_0026,338.124,540.536,859.176,1006.064,3681.278,421.85599999999994,385.742,1048.9779999999998,527.72,373.4,761.3480000000001,808.226,339.70799999999997,641.5219999999999
CATS-d_regions-goods200-bids1000_0027,174.004,286.87,379.96999999999997,364.918,1361.5220000000002,214.93400000000003,257.69800000000004,778.516,216.29000000000002,187.932,283.05,325.812,174.496,263.0
CATS-d_regions-goods200-bids1000_0028,123.144,218.708,119.58999999999999,213.138,690.8979999999999,121.30800000000002,197.124,667.874,181.166,114.452,175.594,644.192,122.96600000000001,158.26
CATS-d_regions-goods200-bids1000_0029,132.83800000000002,174.512,211.02599999999998,360.986,1090.994,165.75799999999998,193.424,513.044,199.774,136.68400000000003,217.86599999999999,288.688,131.16199999999998,194.91800000000003
CATS-d_regions-goods200-bids1000_0030,163.0,263.95199999999994,181.32200000000003,298.022,632.24,157.278,268.71799999999996,468.108,204.75600000000003,143.15,199.214,371.37399999999997,162.9,215.88400000000001
CATS-d_regions-goods200-bids1000_0031,154.10399999999998,298.858,260.32,382.61800000000005,987.7239999999999,174.21400000000003,240.08200000000002,551.086,188.536,178.75,270.56199999999995,210.046,153.99599999999998,218.20999999999998
CATS-d_regions-goods200-bids1000_0032,228.846,382.71,297.592,254.32200000000003,1154.738,209.83200000000002,395.40999999999997,1032.5900000000001,295.976,209.544,261.082,477.19000000000005,227.17799999999997,252.80200000000005
CATS-d_regions-goods200-bids1000_0033,301.82599999999996,424.04200000000003,453.168,569.2059999999999,1973.1200000000001,272.32399999999996,456.90599999999995,1221.33,252.16199999999998,277.206,363.166,441.684,305.278,306.42199999999997
CATS-d_regions-goods200-bids1000_0034,239.044,295.358,432.91999999999996,862.15,2286.3540000000003,242.75799999999998,312.166,759.0060000000001,288.60400000000004,266.348,274.814,504.02200000000005,241.24199999999996,280.288
CATS-d_regions-goods200-bids1000_0035,142.706,200.59599999999998,364.552,321.144,1464.012,163.94400000000002,193.02999999999997,747.816,226.46599999999998,142.978,217.18800000000002,365.804,143.15,203.108
CATS-d_regions-goods200-bids1000_0036,157.28400000000002,450.86,229.56,389.58399999999995,901.604,150.98,408.51599999999996,938.384,210.17399999999998,152.308,233.89600000000002,372.466,158.55,214.294
CATS-d_regions-goods200-bids1000_0037,364.15199999999993,598.9100000000001,624.508,1941.234,2594.118,468.796,430.45,965.028,439.146,375.82,722.9699999999999,710.1899999999999,367.49800000000005,543.9399999999999
CATS-d_regions-goods200-bids1000_0038,181.594,279.11800000000005,207.772,292.448,1056.2959999999998,191.41600000000003,308.776,598.424,212.16199999999998,192.17199999999997,218.512,322.066,182.254,222.058
CATS-d_regions-goods200-bids1000_0039,161.26,408.37,192.872,311.7,1029.958,204.312,288.936,825.7180000000001,224.60999999999999,215.13000000000002,216.902,697.552,159.548,167.274
CATS-d_regions-goods200-bids1000_0040,109.35799999999999,146.132,110.11600000000001,249.53199999999998,538.164,116.08,122.374,321.1,119.45,111.404,138.51000000000002,219.85200000000003,109.894,142.188
CATS-d_regions-goods200-bids1000_0041,99.68199999999999,237.878,142.798,231.442,775.956,104.69200000000001,266.448,634.9879999999999,143.594,102.07,182.90399999999997,283.33799999999997,98.886,174.554
CATS-d_regions-goods200-bids1000_0042,233.35,353.204,259.442,495.05199999999996,1744.2720000000002,245.78400000000002,350.594,827.164,218.5,203.842,270.12800000000004,603.6540000000001,234.22799999999998,210.13400000000001
CATS-d_regions-goods200-bids1000_0043,176.81,289.066,251.24,367.418,1017.2819999999999,187.528,236.35,623.284,200.05,188.754,271.648,294.39,177.122,262.95
CATS-d_regions-goods200-bids1000_0044,168.54000000000002,302.754,173.43800000000002,260.07599999999996,1067.986,152.724,323.158,811.5059999999999,220.368,157.868,220.42000000000002,426.72800000000007,169.64399999999998,193.916
CATS-d_regions-goods200-bids1000_0045,91.38399999999999,112.96600000000001,100.516,162.67600000000002,344.414,112.46400000000001,110.33599999999998,376.13,164.96800000000002,94.36999999999999,157.514,243.734,90.818,133.186
CATS-d_regions-goods200-bids1000_0046,123.828,246.36399999999998,306.93600000000004,386.234,573.9379999999999,135.426,188.19799999999998,591.9559999999999,174.208,138.716,236.61599999999999,274.28999999999996,122.322,206.85399999999998
CATS-d_regions-goods200-bids1000_0047,107.42399999999998,227.798,104.944,145.11399999999998,606.3720000000001,124.58600000000001,183.73200000000003,601.5319999999999,177.37400000000002,107.46399999999998,187.16,315.468,105.59200000000001,157.20999999999998
CATS-d_regions-goods200-bids1000_0048,236.16199999999998,399.136,276.166,775.642,1301.9940000000001,216.00799999999998,428.316,866.466,254.16,225.416,365.54799999999994,525.15,235.248,299.33799999999997
CATS-d_regions-goods200-bids1000_0049,99.59200000000001,144.516,117.29,164.916,351.52799999999996,122.056,135.04000000000002,490.6259999999999,132.02,104.19399999999999,134.26600000000002,226.59,99.39599999999999,131.086
CATS-d_regions-goods200-bids1000_0050,118.62,262.422,367.39,265.194,976.1640000000001,132.57,147.184,851.0040000000001,162.168,127.05999999999999,189.95999999999998,662.758,115.78200000000001,207.18800000000002
CATS-d_regions-goods200-bids1000_0051,63.14,104.14200000000001,116.398,119.03,200.84199999999998,85.01,125.78399999999999,496.28600000000006,136.514,70.776,151.178,190.18,63.814,113.626
CATS-d_regions-goods200-bids1000_0052,197.108,292.94399999999996,465.38199999999995,699.486,2479.1600000000003,273.648,280.332,729.83,275.756,263.87199999999996,397.588,448.38,245.158,551.472
CATS-d_regions-goods200-bids1000_0053,103.852,207.83800000000002,100.458,167.972,207.31599999999997,105.22999999999999,233.97200000000004,558.9820000000001,137.012,110.564,152.818,184.26000000000002,103.55800000000002,143.38400000000001
CATS-d_regions-goods200-bids1000_0054,128.11599999999999,207.408,193.276,225.234,814.2140000000002,130.906,246.186,664.982,178.218,126.80800000000002,193.30800000000002,314.804,128.58599999999998,212.632
CATS-d_regions-goods200-bids1000_0055,124.396,234.89600000000002,109.926,255.21599999999998,342.676,148.42199999999997,177.592,593.5219999999999,158.23,134.198,153.564,276.99,122.646,142.66400000000002
CATS-d_regions-goods200-bids1000_0056,77.824,89.93599999999999,76.242,138.324,177.512,78.666,96.236,382.97200000000004,118.03399999999999,85.08800000000001,126.506,167.048,76.218,103.15
CATS-d_regions-goods200-bids1000_0057,246.048,270.79799999999994,439.9599999999999,591.304,1360.402,258.226,333.978,743.198,285.014,194.06800000000004,304.326,455.21399999999994,247.314,299.06399999999996
CATS-d_regions-goods200-bids1000_0058,69.24600000000001,105.53,98.022,113.77399999999997,190.87000000000003,68.048,102.05799999999999,337.02799999999996,90.61800000000001,70.04,118.978,192.848,71.444,110.84200000000001
CATS-d_regions-goods200-bids1000_0059,242.506,386.1139999999999,445.816,533.1940000000001,2306.2160000000003,259.9,337.656,959.5679999999999,267.15399999999994,250.166,337.776,517.9480000000001,242.8,335.34000000000003
CATS-d_regions-goods200-bids1000_0060,66.59599999999999,112.06199999999998,93.05199999999999,154.452,185.414,82.152,115.89200000000001,461.13800000000003,86.152,65.532,161.728,189.51600000000002,66.046,141.522
CATS-d_regions-goods200-bids1000_0061,234.346,271.93600000000004,290.296,446.1139999999999,2763.862,279.16200000000003,290.694,680.922,264.94399999999996,328.43,293.096,480.532,234.93200000000002,265.02000000000004
CATS-d_regions-goods200-bids1000_0062,168.63000000000002,275.72400000000005,280.14,459.274,625.014,174.768,276.29200000000003,628.852,168.808,157.554,289.908,255.31599999999997,167.908,263.616
CATS-d_regions-goods200-bids1000_0063,132.03400000000002,167.922,172.11999999999998,356.61800000000005,651.806,131.24,160.904,590.958,158.978,128.97199999999998,238.458,336.93199999999996,131.92800000000003,176.81599999999997
CATS-d_regions-goods200-bids1000_0064,112.63799999999999,213.88199999999998,114.99000000000001,265.29599999999994,597.7560000000001,108.144,171.164,453.30199999999996,141.462,132.898,198.52800000000002,304.22999999999996,112.208,176.628
CATS-d_regions-goods200-bids1000_0065,150.19400000000002,288.23400000000004,255.28400000000002,332.91999999999996,719.6880000000001,179.738,277.654,765.506,190.308,159.278,218.85399999999998,395.64799999999997,150.564,215.19400000000002
CATS-d_regions-goods200-bids1000_0066,55.974000000000004,71.928,65.64399999999999,78.31,172.708,68.05600000000001,67.408,180.92800000000003,96.096,52.510000000000005,85.61999999999999,170.01999999999998,54.7,90.884
CATS-d_regions-goods200-bids1000_0067,242.75799999999998,322.744,453.06000000000006,1468.6860000000001,2227.6700000000005,250.026,282.38599999999997,768.4280000000001,294.67600000000004,226.22999999999996,470.582,482.814,244.55599999999998,405.88
CATS-d_regions-goods200-bids1000_0068,211.46999999999997,428.48,375.044,584.002,1224.194,221.38399999999996,412.476,968.866,251.25799999999998,259.20799999999997,339.392,415.746,212.66799999999998,302.93999999999994
CATS-d_regions-goods200-bids1000_0069,222.29000000000002,338.14399999999995,263.988,494.782,1369.78,198.15,295.23400000000004,645.2180000000001,265.642,240.378,254.66800000000003,332.228,223.18400000000003,211.108
CATS-d_regions-goods200-bids1000_0070,142.598,248.06,166.194,294.158,717.2459999999999,126.458,159.98600000000002,494.04799999999994,199.13600000000002,136.174,209.994,334.996,139.988,175.408
CATS-d_regions-goods200-bids1000_0071,155.022,317.224,206.408,200.77599999999998,843.942,167.31799999999998,207.97799999999998,554.984,167.26999999999998,147.052,195.03000000000003,356.65999999999997,156.07599999999996,193.65200000000002
CATS-d_regions-goods200-bids1000_0072,193.496,274.90999999999997,279.76599999999996,408.71999999999997,1358.628,253.11800000000002,219.442,719.486,268.808,213.22199999999998,269.45,351.606,193.848,248.192
CATS-d_regions-goods200-bids1000_0073,320.18399999999997,565.1959999999999,699.9380000000001,1418.3200000000002,2729.448,428.68,466.312,862.934,322.79200000000003,359.64000000000004,606.4860000000001,790.8779999999999,321.40999999999997,584.6540000000001
CATS-d_regions-goods200-bids1000_0074,212.282,310.956,297.794,379.85,1345.844,229.25799999999998,331.492,921.9439999999998,283.922,194.324,332.16400000000004,463.24799999999993,211.56199999999998,246.67000000000002
CATS-d_regions-goods200-bids1000_0075,118.146,222.046,116.38400000000001,265.69,231.252,109.52800000000002,279.58399999999995,848.132,153.08999999999997,133.92000000000002,159.45999999999998,219.498,116.548,151.672
CATS-d_regions-goods200-bids1000_0076,226.83800000000002,342.418,348.962,378.134,2308.3500000000004,254.458,274.322,820.372,254.42999999999998,234.692,329.37399999999997,464.072,226.91,247.23000000000002
CATS-d_regions-goods200-bids1000_0077,75.022,75.224,77.27399999999999,83.28799999999998,270.286,80.67,79.76,190.804,100.652,75.098,123.936,217.27800000000002,74.696,117.20200000000003
CATS-d_regions-goods200-bids1000_0078,188.25799999999998,220.468,304.456,471.99399999999997,1606.1799999999998,197.496,215.57799999999997,794.288,184.794,180.632,240.26800000000003,405.014,188.892,210.084
CATS-d_regions-goods200-bids1000_0079,339.732,404.896,528.1080000000001,1407.8020000000001,3524.4339999999997,405.12600000000003,426.04200000000003,927.278,411.308,339.90999999999997,574.45,753.472,342.88599999999997,452.66
CATS-d_regions-goods200-bids1000_0080,190.998,279.86800000000005,298.78999999999996,513.358,1061.228,234.81599999999997,267.596,575.768,196.09,186.352,264.934,353.798,193.37400000000002,263.32399999999996
CATS-d_regions-goods200-bids1000_0081,196.19,322.576,324.928,513.662,2701.996,215.804,255.51800000000003,910.314,240.76799999999997,237.902,266.1,507.09399999999994,196.73600000000002,247.506
CATS-d_regions-goods200-bids1000_0082,308.41,520.492,411.13199999999995,794.396,2812.736,438.23999999999995,424.662,885.1020000000001,358.132,333.52799999999996,408.93199999999996,580.908,309.814,397.086
CATS-d_regions-goods200-bids1000_0083,77.00399999999999,104.56200000000001,78.31400000000001,172.56799999999998,298.648,88.95599999999999,99.984,359.98400000000004,118.43599999999999,84.776,126.174,201.998,75.87,101.936
CATS-d_regions-goods200-bids1000_0084,169.362,261.906,245.654,257.372,742.1400000000001,200.29199999999997,228.442,658.89,217.21400000000003,166.89400000000003,263.454,445.49800000000005,169.44,216.57600000000002
CATS-d_regions-goods200-bids1000_0085,136.746,289.93,334.546,295.718,819.598,147.376,205.1,534.058,205.848,153.79799999999997,237.19400000000002,309.46200000000005,136.648,230.92
CATS-d_regions-goods200-bids1000_0086,162.678,239.098,274.478,334.64,1252.3780000000002,185.942,189.472,531.328,206.91000000000003,148.026,235.04000000000002,338.378,165.71599999999998,266.358
CATS-d_regions-goods200-bids1000_0087,193.678,272.802,322.504,340.88,2224.818,247.02999999999997,272.08599999999996,740.1400000000001,248.914,202.60999999999999,259.53599999999994,624.8059999999999,192.98000000000002,237.208
CATS-d_regions-goods200-bids1000_0088,130.374,193.21,147.05400000000003,229.07800000000003,689.836,117.98400000000001,204.24599999999998,492.71400000000006,181.698,119.22,226.51399999999998,322.68,128.838,192.39999999999998
CATS-d_regions-goods200-bids1000_0089,134.072,207.55599999999998,178.76799999999997,360.562,808.758,147.534,182.632,607.052,212.55,142.186,220.63599999999997,342.714,133.34999999999997,173.372
CATS-d_regions-goods200-bids1000_0090,217.47600000000003,390.188,412.11800000000005,838.892,1422.926,227.12000000000003,357.99,758.24,269.88599999999997,234.13000000000002,357.53200000000004,399.92600000000004,216.898,324.43199999999996
CATS-d_regions-goods200-bids1000_0091,228.836,245.426,274.81800000000004,401.956,1260.1100000000001,226.878,327.30999999999995,780.9060000000002,231.852,183.60199999999998,225.756,333.522,229.206,242.11400000000003
CATS-d_regions-goods200-bids1000_0092,112.03,226.942,240.67600000000002,272.35,567.4519999999999,122.93800000000002,179.31799999999998,557.586,172.962,137.538,199.60999999999999,299.43199999999996,112.766,177.818
CATS-d_regions-goods200-bids1000_0093,120.096,205.88000000000002,139.02999999999997,207.998,710.058,151.538,227.046,753.07,158.988,108.13400000000001,157.596,363.58000000000004,120.08599999999998,146.96800000000002
CATS-d_regions-goods200-bids1000_0094,273.65999999999997,437.32,487.38,626.94,2744.742,335.97,456.544,798.428,278.99799999999993,297.404,372.02200000000005,561.71,275.322,338.84
CATS-d_regions-goods200-bids1000_0095,235.21599999999998,420.87600000000003,400.90999999999997,745.216,1588.924,267.88199999999995,318.352,701.3380000000001,277.216,252.2,480.846,376.03599999999994,236.07,449.174
CATS-d_regions-goods200-bids1000_0096,63.734,161.68599999999998,82.144,168.652,294.548,74.534,84.02000000000001,319.09000000000003,129.106,93.12400000000001,110.478,275.726,61.760000000000005,96.146
CATS-d_regions-goods200-bids1000_0097,206.092,377.106,477.45200000000006,902.524,1270.058,227.612,359.438,1050.038,235.144,205.048,349.156,456.666,204.40800000000002,319.246
CATS-d_regions-goods200-bids1000_0098,193.138,263.654,224.256,506.1620000000001,1118.47,204.204,221.598,617.646,214.144,200.81599999999997,221.706,347.45,191.626,188.49599999999998
CATS-d_regions-goods200-bids1000_0099,122.29400000000001,281.554,250.016,380.352,342.698,134.212,209.08,619.6980000000001,153.786,132.19,156.43,323.23800000000006,120.526,153.778
CATS-d_regions-goods200-bids1000_0100,209.96999999999997,358.1,379.244,488.466,1472.666,282.938,355.114,791.978,267.90199999999993,246.11399999999998,305.488,352.698,214.08,255.57000000000002
CATS-d_regions-goods200-bids1000_0101,106.63399999999999,145.634,92.96200000000002,134.952,375.246,124.874,113.15,456.62000000000006,117.71,103.18199999999999,187.53199999999998,259.82000000000005,104.77000000000001,155.158
